date,country,measure,source,name,y,text,tooltip,type,plotTextPosition,region
24.03.20,United Kingdom,ban_public_events,https://mrc-ide.github.io/covid19estimates/#/interventions,ban_public_events,2,Ban of events,Ban of events,start,top right,United Kingdom
01.01.99,United Kingdom,ban_public_events,https://mrc-ide.github.io/covid19estimates/#/interventions,ban_public_events,2,,End of Ban of events,end,top right,United Kingdom
24.03.20,United Kingdom,lockdown,https://mrc-ide.github.io/covid19estimates/#/interventions,gathering2,3,Ban of gatherings > 2 people,Lockdown,start,top right,United Kingdom
01.01.99,United Kingdom,lockdown,https://mrc-ide.github.io/covid19estimates/#/interventions,gathering2,3,,End of Lockdown,end,top right,United Kingdom
21.03.20,United Kingdom,school_closure,https://mrc-ide.github.io/covid19estimates/#/interventions,school_closure,1,School Closure,School Closure,start,top right,United Kingdom
01.01.99,United Kingdom,school_closure,https://mrc-ide.github.io/covid19estimates/#/interventions,school_closure,1,,End of School Closure,end,top right,United Kingdom
12.03.20,United Kingdom,self_isolation,https://mrc-ide.github.io/covid19estimates/#/interventions,self_isolation,5,Advice to self isolate,Advice to self isolate if experiencing symptoms,start,top right,United Kingdom
01.01.99,United Kingdom,self_isolation,https://mrc-ide.github.io/covid19estimates/#/interventions,self_isolation,5,,End of Self isolation,end,top right,United Kingdom
16.03.20,United Kingdom,social_distancing,https://mrc-ide.github.io/covid19estimates/#/interventions,social_distancing,4,Social distancing rules,Social distancing rules,start,top right,United Kingdom
01.01.99,United Kingdom,social_distancing,https://mrc-ide.github.io/covid19estimates/#/interventions,social_distancing,4,,End of Social distancing rules,end,top right,United Kingdom
